"No.","Time","Source","Destination","Protocol","Length","Info"
"51","10.861495","127.0.0.1","127.0.0.1","TCP","56","61346  >  2775 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"52","10.861550","127.0.0.1","127.0.0.1","TCP","56","2775  >  61346 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"53","10.861584","127.0.0.1","127.0.0.1","TCP","44","61346  >  2775 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"54","10.889408","127.0.0.1","127.0.0.1","SMPP","80","Bind_transceiver"
"55","10.889445","127.0.0.1","127.0.0.1","TCP","44","2775  >  61346 [ACK] Seq=1 Ack=37 Win=65280 Len=0"
"112","11.082886","127.0.0.1","127.0.0.1","TCP","48","2775  >  61346 [PSH, ACK] Seq=1 Ack=37 Win=65280 Len=4"
"113","11.082931","127.0.0.1","127.0.0.1","TCP","44","61346  >  2775 [ACK] Seq=37 Ack=5 Win=65280 Len=0"
"114","11.083038","127.0.0.1","127.0.0.1","TCP","48","2775  >  61346 [PSH, ACK] Seq=5 Ack=37 Win=65280 Len=4"
"115","11.083058","127.0.0.1","127.0.0.1","TCP","44","61346  >  2775 [ACK] Seq=37 Ack=9 Win=65280 Len=0"
"116","11.083164","127.0.0.1","127.0.0.1","TCP","48","2775  >  61346 [PSH, ACK] Seq=9 Ack=37 Win=65280 Len=4"
"117","11.083187","127.0.0.1","127.0.0.1","TCP","44","61346  >  2775 [ACK] Seq=37 Ack=13 Win=65280 Len=0"
"118","11.083253","127.0.0.1","127.0.0.1","TCP","48","2775  >  61346 [PSH, ACK] Seq=13 Ack=37 Win=65280 Len=4"
"119","11.083268","127.0.0.1","127.0.0.1","TCP","44","61346  >  2775 [ACK] Seq=37 Ack=17 Win=65280 Len=0"
"120","11.083325","127.0.0.1","127.0.0.1","TCP","50","2775  >  61346 [PSH, ACK] Seq=17 Ack=37 Win=65280 Len=6"
"121","11.083337","127.0.0.1","127.0.0.1","TCP","44","61346  >  2775 [ACK] Seq=37 Ack=23 Win=65280 Len=0"
"122","11.083818","127.0.0.1","127.0.0.1","TCP","44","61346  >  2775 [FIN, ACK] Seq=37 Ack=23 Win=65280 Len=0"
"123","11.083838","127.0.0.1","127.0.0.1","TCP","44","2775  >  61346 [ACK] Seq=23 Ack=38 Win=65280 Len=0"
"124","11.083935","127.0.0.1","127.0.0.1","TCP","44","2775  >  61346 [RST, ACK] Seq=23 Ack=38 Win=0 Len=0"
